# data_source: oecd
# attribute: country.parental_leave_policy
# publication: OECD Family Database, Table PF2.1.A
# publisher_url: https://www.oecd.org/en/data/datasets/family-database.html
# transcribed_on: 2026-09-19
# confidence: high
# period: the table's own subtitle says "in weeks, 2025", so every figure describes the law in force in 2025 rather than the year the workbook was downloaded.
# route: OECD publishes PF2.1 as a workbook, so this was extracted from the publisher's own file rather than read off a page -- hence high confidence. Column (9) of Table PF2.1.A, "Total paid leave available to mothers, Full-rate equivalent (weeks)", read by openpyxl and rounded to two decimals.
# scale: full-rate equivalent weeks -- the length of leave discounted by what it pays, which is OECD's own column and not a computation of ours. Column (7) gives raw length, and the household chose against it on 2026-09-19: Czechia's 164 weeks pay 31% where Estonia's 82 pay 100%, and raw length calls the first twice as good. Both weight and payment rate describe one thing, the leave a family receives, so this is a within-dimension measure and stays an attribute rather than an ExternalScore (Q223).
# coverage: 31 of 32. OECD's table covers the five EU non-members (Bulgaria, Croatia, Cyprus, Malta, Romania); Liechtenstein is absent and is deliberately left unanswered rather than filled in.
country_code,figure,period,page,workings
AT,46.52,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
BE,15.10,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
BG,70.11,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
CH,8.05,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
CY,21.01,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
CZ,50.62,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
DE,38.22,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
DK,20.37,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
EE,82.14,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
ES,16,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
FI,39.70,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
FR,19.57,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
GB,11.66,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
GR,36.98,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
HR,56,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
HU,75.88,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
IE,8.20,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
IS,25.60,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
IT,31.66,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
LT,52.49,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
LU,38.46,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
LV,43.92,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
MT,19.82,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
NL,22.30,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
NO,39.26,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
PL,40.30,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
PT,22.34,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
RO,88.68,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
SE,34.38,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
SI,52.14,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
SK,66.08,2025,https://webfs.oecd.org/els-com/Family_Database/PF2_1_Parental_leave_systems.xlsx,
